row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,entrez
ENSG00000000003,1.45036313455231,-0.7511883990573,0.0855014483521989,-8.78568040114354,1.55420903252844e-18,1.79379770287237e-17,TSPAN6,7105
ENSG00000000419,4.07726976729138,-0.758554215307984,0.113265177428742,-6.69715293374441,2.12519183728229e-11,1.32580372543723e-10,DPM1,8813
ENSG00000000460,1.16898590165835,-0.0322697611747259,0.0819500958066614,-0.393773318470029,0.693748404957967,0.791246411091276,C1orf112,55732
ENSG00000000938,2.16677057064193,-0.126120734543086,0.100192100168379,-1.25878920924037,0.208106478958371,0.305894500879815,FGR,2268
ENSG00000000971,1.6199438021022,0.141831176811981,0.0878089066138148,1.61522540572971,0.106261890682777,0.171896745249086,CFH,3075
ENSG00000001036,1.75064929544043,-0.507632624400127,0.090591716003417,-5.60352145643185,2.10040101836016e-08,9.63966802349571e-08,FUCA2,2519
ENSG00000001084,1.18265733368995,-0.0568183414183811,0.0776523086003409,-0.731701895829168,0.464350539028227,0.585232781979255,GCLC,2729
ENSG00000001167,2.95871024609188,-1.47624416110592,0.106400774794787,-13.8743741664769,9.05802292696057e-44,7.01648391342253e-42,NFYA,4800
ENSG00000001460,1.07959294204542,0.0159053519441615,0.081523146028164,0.195102283450478,0.845312874994461,NA,STPG1,90529
ENSG00000001461,1.09153202428395,-0.0160941295125725,0.0808945033365212,-0.198952077690877,0.84230023158746,NA,NIPAL3,57185
ENSG00000001497,1.62292599007595,-0.462725198608277,0.0879390861226004,-5.26188318540368,1.4258735214258e-07,6.06058938899378e-07,LAS1L,81887
ENSG00000001561,1.47004566042338,-0.126998964574243,0.0805815418954846,-1.57603046041192,0.115018783484027,0.184090990678277,ENPP4,22875
ENSG00000001617,2.39040902493225,-0.813108208276977,0.084615260706188,-9.60947471520954,7.2920032285126e-22,1.06678652558531e-20,SEMA3F,6405
ENSG00000001629,1.84043108291096,-0.585173203153547,0.0903824270493007,-6.4744134701578,9.51809369298446e-11,5.6023694196797e-10,ANKIB1,54467
ENSG00000001630,1.38347691695375,0.021522715953241,0.08594798510879,0.250415596433102,0.802265969558918,0.874330986305012,CYP51A1,1595
