row,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,entrez
ENSG00000000003,0.751188282703502,0.0855019991061929,8.78562244808488,1.55501057519488e-18,1.79472280713037e-17,TSPAN6,7105
ENSG00000000419,0.758554229666311,0.113264994708216,6.69716386444404,2.12503294052439e-11,1.32570459748563e-10,DPM1,8813
ENSG00000000460,0.0322696193312795,0.0819512098081845,0.393766234895251,0.693753635212901,0.791252376395724,C1orf112,55732
ENSG00000000938,0.126120745738814,0.100192179880525,1.25878831949966,0.208106800415487,0.305894973387756,FGR,2268
ENSG00000000971,-0.141831175054002,0.0878093233765437,-1.61521771948751,0.106263554592857,0.171899436907643,CFH,3075
ENSG00000001036,0.50763261510612,0.0905920214593267,5.60350246002661,2.10063133752547e-08,9.64072505987764e-08,FUCA2,2519
ENSG00000001084,0.0568183363218491,0.077653067733217,0.731694677112472,0.464354946030274,0.585238336235902,GCLC,2729
ENSG00000001167,1.47624417761401,0.106400666367805,13.8743884602277,9.05621751015904e-44,7.01508540979243e-42,NFYA,4800
ENSG00000001460,-0.0159053517487736,0.0815238728682028,-0.195100541585988,0.845314238600176,NA,STPG1,90529
ENSG00000001461,0.0160941099049565,0.0808952271583358,0.198950055155363,0.842301813713936,NA,NIPAL3,57185
ENSG00000001497,0.462725141984402,0.0879394937846134,5.261858148942,1.4260677423061e-07,6.0614149131294e-07,LAS1L,81887
ENSG00000001561,0.126999004041282,0.08058215223843,1.57601901306274,0.115021421533617,0.184095212955263,ENPP4,22875
ENSG00000001617,0.813108217827462,0.0846152655489079,9.60947427810745,7.29203418220053e-22,1.06679105396745e-20,SEMA3F,6405
ENSG00000001629,0.58517319003477,0.0903826746473882,6.47439558873111,9.51922084594028e-11,5.60283331522102e-10,ANKIB1,54467
ENSG00000001630,-0.0215225883971995,0.0859486460202101,-0.25041218673926,0.802268606125658,0.874333859706209,CYP51A1,1595
ENSG00000001631,0.0155896720169842,0.0861863967971481,0.180883208909135,0.856459248794913,0.912328416999095,KRIT1,889
ENSG00000002016,0.165323250551463,0.0807980500718558,2.0461292123317,0.0407436595759479,0.0746544931487118,RAD52,5893
ENSG00000002330,-0.259624532873431,0.103899765218504,-2.49879807069278,0.0124615295659265,0.0261115178211645,BAD,572
ENSG00000002549,-0.129570761267631,0.110500681128718,-1.17257884697289,0.240964736193412,0.345328238166754,LAP3,51056
ENSG00000002586,0.297614275012731,0.0871328796701401,3.41563685418653,0.000636330452969345,0.0016922899255726,CD99,4267
ENSG00000002587,-0.313789310053338,0.0867505185822327,-3.61714621631789,0.000297869055293767,0.000830897891082614,HS3ST1,9957
ENSG00000002745,-0.0142131182873442,0.0822330186145985,-0.172839554315242,0.86277754505727,NA,WNT16,51384
ENSG00000002822,-0.0910550498685106,0.0810814147402235,-1.12300766038977,0.261434241044295,0.369926389786798,MAD1L1,8379
ENSG00000002834,0.0251842038770391,0.120525745752564,0.20895289815291,0.834485008726644,0.898024476396185,LASP1,3927
